component_name,component_description,component_specification,component_quantity,component_tag_id,component_category,component_location,front_image_id,back_image_id,invoice_number,purchase_value,purchased_from,purchase_currency,purchase_date
"Arduino Uno (Clone) with USB Cable","Clone version of Arduino Uno microcontroller board","ATmega328P, 5V/16MHz, 14 Digital I/O, 6 Analog, 32KB Flash, USB cable included","5","ARD002","Electrical","Lab A","arduino-clone-front.jpg","arduino-clone-back.jpg","INV006","450.00","ElectroMart","INR","2024-03-10"
"NodeMCU","Wi-Fi enabled IoT development board","ESP8266, 80MHz, 4MB Flash, 10 GPIO, 802.11 b/g/n Wi-Fi","8","ESP002","Electrical","Lab A","nodemcu-front.jpg","nodemcu-back.jpg","INV007","300.00","IoT Store","INR","2024-03-12"
"Raspberry Pi 3 Model B+ with accessories","Single-board computer with power adapter and case","Broadcom BCM2837B0, 1.4GHz, 1GB RAM, 5V/2A adapter, plastic enclosure","3","RPI001","Computing","Lab B","rpi3-front.jpg","rpi3-back.jpg","INV008","3500.00","Pi Hut","INR","2024-03-15"
"MicroSD cards (16GB, Class 10)","High-speed microSD cards for data storage","16GB capacity, Class 10 speed (10MB/s), FAT32 formatted","10","SD001","Storage","Lab B","microsd-front.jpg","microsd-back.jpg","INV009","1200.00","Memory World","INR","2024-03-18"
"Breadboard (400 points)","Solderless breadboard for prototyping","400 tie points, 2 power rails, 55x85mm size, ABS plastic","12","BB002","Electrical","Lab B","breadboard400-front.jpg","breadboard400-back.jpg","INV010","90.00","Circuit World","INR","2024-03-20"
"Servo Motor","Standard hobby servo motor for precise control","5V DC, 20kg/cm torque, 0.3s/60° speed, 3-wire interface","6","SERV001","Mechanical","Lab C","servo-front.jpg","servo-back.jpg","INV011","250.00","RoboShop","INR","2024-03-22"
"DC Motor (Bo motor 300 RPM)","300 RPM geared DC motor for robotics","6V DC, 300 RPM, 0.5kg/cm torque, 2-wire connection","4","DCM001","Mechanical","Lab C","dcmotor-front.jpg","dcmotor-back.jpg","INV012","180.00","Motor World","INR","2024-03-25"
"Stepper Motor","Precision stepper motor for accurate positioning","5V, 1.8°/step, 4-wire bipolar, 35Ncm holding torque","4","STEP001","Mechanical","Lab C","stepper-front.jpg","stepper-back.jpg","INV013","320.00","Precision Motors","INR","2024-04-01"
"Motor driver Breakout (L293D)","Dual H-bridge motor driver IC breakout","1.2A per channel, 4.5-36V, TTL/CMOS compatible, heatsink","5","DRV001","Electrical","Lab C","l293d-front.jpg","l293d-back.jpg","INV014","150.00","Driver Depot","INR","2024-04-05"
"PCB Board (Small-Dot-Board)","Prototyping PCB with dot matrix pattern","5x7cm, FR4 material, 2.54mm pitch, through-hole design","10","PCB001","Electrical","Storage","pcb-front.jpg","pcb-back.jpg","INV015","200.00","PCB World","INR","2024-04-10"
"Ultrasonic sensors HC SR04","Distance measurement sensor using ultrasound","2-400cm range, 3mm accuracy, 15° beam angle, 5V DC","8","US001","Sensors","Lab D","ultrasonic-front.jpg","ultrasonic-back.jpg","INV016","120.00","Sensor Hub","INR","2024-04-12"
"Temperature and Humidity Sensor DHT11","Basic digital temperature and humidity sensor","20-90% RH (±5%), 0-50°C (±2°C), 1Hz sampling, 3-5V","5","DHT001","Sensors","Lab D","dht11-front.jpg","dht11-back.jpg","INV017","80.00","Climate Tech","INR","2024-04-15"
